Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/07/2019 01:55:21 PM,119998944,242,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0250178201568176,495863.4049586777,245730.99662034132,1000221.0,52.0,1.18998863E8,493771.2157676348,244072.9644060936,1000221.0,52.0,0,0,0,0,0,0,0,0,0,0,0,2.0166844134895054,0.008333406667312006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,242,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,BENIGN
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,15/07/2019 01:55:22 PM,109235816,21,1,1072.0,52.0,56.0,48.0,51.04761904761905,2.4995237641636954,52.0,52.0,52.0,0.0,10.28966543354242,0.20139914549638188,5201705.523809524,8027817.906700123,2.0019201E7,2.0,8.9999523E7,4499976.15,7546693.521196511,2.0019201E7,2.0,0,0,0,0,0,0,0,0,0,168,8,0.19224463888291,0.009154506613471903,48.0,56.0,51.130434782608695,2.3989457500040405,5.754940711462448,0,0,0,0,0,0,0,0,0.0,53.45454545454545,51.04761904761905,52.0,0,0,0,0,0,0,21,1072,1,52,-1,-1,21,0,819535.5,78517.84408973543,875056.0,764015.0,1.5175318571428573E7,6349189.18374354,2.0019201E7,5202524.0,Normal,BENIGN
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,15/07/2019 01:55:22 PM,119764062,88,1,25515.0,289.0,296.0,288.0,289.94318181818187,2.4228697459093116,289.0,289.0,289.0,0.0,215.45695402348662,0.7431277673263955,1360955.25,1078681.561568132,3310060.0,136476.0,1.1921569E8,1370295.2873563217,1081349.8733771762,3310060.0,136476.0,0,0,0,0,0,0,0,0,0,704,8,0.7347780171317169,0.008349750194678601,288.0,296.0,289.9222222222223,2.39956820918095,5.757927590511871,0,0,0,0,0,0,0,0,0.0,293.17977528089887,289.9431818181818,289.0,0,0,0,0,0,0,88,25515,1,289,-1,-1,88,0,0,0,0,0,0,0,0,0,Normal,BENIGN
192.168.3.30-192.168.3.31-40504-9200-6,192.168.3.30,40504,192.168.3.31,9200,6,15/07/2019 01:55:23 PM,117030424,18,17,23499.0,3736.0,4096.0,0.0,1305.5000000000002,1551.6162825374365,929.0,0.0,219.76470588235293,254.16813564345665,232.71726333316542,0.2990675313626139,3442071.2941176468,8754853.569364924,3.4978598E7,34.0,1.17022552E8,6883679.529411765,1.1528897490825148E7,3.4978598E7,268.0,1.17030383E8,7314398.937499999,1.176703001848915E7,3.4979324E7,34.0,0,1,0,0,576,544,0.15380615898648714,0.14526137237612674,0.0,4096.0,782.3333333333335,1222.2898417081185,1493992.4571428574,0,0,0,1,1,0,0,0,0.0,804.6857142857143,1305.5,219.76470588235293,0,0,0,0,0,0,18,23499,17,3736,-1,2958,10,0,192329.33333333334,436593.1232686409,1083374.0,7236.0,1.9311305166666668E7,1.1778304083737496E7,3.4978598E7,5147962.0,Normal,BENIGN
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,15/07/2019 01:55:58 PM,119999703,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500006187515314,5.99998515E7,847.8210306426705,6.0000451E7,5.9999252E7,5.9999252E7,5.9999252E7,0.0,5.9999252E7,5.9999252E7,0,0,0,0,0,0,0,0,0,0,0,0.01666670791676876,0.00833335395838438,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.99998515E7,847.8210306426705,6.0000451E7,5.9999252E7,Normal,BENIGN
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/07/2019 01:57:22 PM,119971005,246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0588307983249785,487687.0121951222,257273.70996468273,1000232.0,33.0,1.19634605E8,488304.5102040814,257617.63564028428,1000232.0,33.0,0,0,0,0,0,0,0,0,0,0,0,2.050495450963339,0.00833534736163959,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,246,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,BENIGN
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,15/07/2019 01:57:22 PM,106058127,28,1,1412.0,52.0,52.0,48.0,50.42857142857142,1.9893898455737526,52.0,52.0,52.0,0.0,13.803751220309595,0.27343496269738954,3787790.25,6527872.975355015,2.0019219E7,3.0,9.3770509E7,3472981.814814815,6431985.880291524,2.0019219E7,3.0,0,0,0,0,0,0,0,0,0,224,8,0.26400617088023814,0.009428791817151363,48.0,52.0,50.53333333333334,1.9605300714142433,3.843678160919538,0,0,0,0,0,0,0,0,0.0,52.275862068965516,50.42857142857143,52.0,0,0,0,0,0,0,28,1412,1,52,-1,-1,28,0,1233875.2,2141256.1367654502,5014157.0,43.0,1.2486089375E7,6333811.80547636,2.0019219E7,5698597.0,Normal,BENIGN
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,15/07/2019 01:57:23 PM,119169277,87,1,25225.0,289.0,296.0,288.0,289.9425287356322,2.44167461519553,289.0,289.0,289.0,0.0,214.09880669159386,0.7384453628933236,1369761.804597701,1105374.5046328201,3301511.0,34012.0,1.1616672E8,1350775.8139534881,1097496.188003033,3301511.0,34012.0,0,0,0,0,0,0,0,0,0,696,8,0.7300539383149904,0.008391424578333223,288.0,296.0,289.9213483146068,2.4178536645561035,5.846016343207379,0,0,0,0,0,0,0,0,0.0,293.21590909090907,289.9425287356322,289.0,0,0,0,0,0,0,87,25225,1,289,-1,-1,87,0,0,0,0,0,0,0,0,0,Normal,BENIGN
192.168.3.30-192.168.3.31-40504-9200-6,192.168.3.30,40504,192.168.3.31,9200,6,15/07/2019 01:57:55 PM,85023886,7,9,6088.0,3343.0,2030.0,0.0,869.7142857142857,1084.7243450581832,2010.0,0.0,371.4444444444445,636.6498470727671,110.92177085389862,0.18818241264578284,5668259.066666667,1.192623425054824E7,3.4978311E7,32.0,8.501483E7,1.4169138333333334E7,1.5928850642402077E7,3.4978311E7,6022.0,8.5023851E7,1.0627981374999998E7,1.4974879388727736E7,3.497895E7,878.0,0,1,0,0,224,288,0.08232980553253,0.10585260711325285,0.0,2030.0,673.0000000000001,907.5796108331214,823700.7500000001,0,0,0,1,1,0,0,0,1.0,715.0625,869.7142857142857,371.44444444444446,0,0,0,0,0,0,7,6088,9,3343,-1,2958,3,0,13613.333333333334,10629.857258370563,25762.0,6022.0,2.8324405333333332E7,5762451.368977819,3.4978311E7,2.4996892E7,Normal,BENIGN
192.168.3.30-198.143.164.251-40452-443-6,192.168.3.30,40452,198.143.164.251,443,6,15/07/2019 02:01:00 PM,232229,6,9,780.0,9272.0,355.0,0.0,130.0,161.18436648757225,5000.0,0.0,1030.2222222222224,2007.4048406946827,43284.86106386369,64.59141623139229,16587.785714285717,25183.255686081367,59648.0,5.0,119522.0,23904.4,28176.82471997155,54971.0,57.0,232229.0,29028.624999999996,30596.128620359334,61907.0,5.0,0,0,0,0,192,304,25.836566492556916,38.754849738835375,0.0,5000.0,628.25,1542.8490312837914,2380383.133333334,0,1,0,0,0,0,0,0,1.0,670.1333333333333,130.0,1030.2222222222222,0,0,0,0,0,0,6,780,9,9272,-1,61,3,0,0,0,0,0,0,0,0,0,Normal,BENIGN
